hour,user_type,number_of_rides
0,casual,22283
0,member,19664
1,casual,14795
1,member,11507
2,casual,8712
2,member,6220
3,casual,4737
3,member,4248
4,casual,3723
4,member,5433
5,casual,8254
5,member,25804
6,casual,20089
6,member,80488
7,casual,38746
7,member,156714
8,casual,54376
8,member,193854
9,casual,55208
9,member,127251
10,casual,70298
10,member,111491
11,casual,89531
11,member,129733
12,casual,104717
12,member,147855
13,casual,108601
13,member,147442
14,casual,112597
14,member,148203
15,casual,122723
15,member,182760
16,casual,138844
16,member,254239
17,casual,146713
17,member,293641
18,casual,120923
18,member,218968
19,casual,86939
19,member,151392
20,casual,62741
20,member,104523
21,casual,50652
21,member,77861
22,casual,44469
22,member,54182
23,casual,30761
23,member,33043
